,artist,artist_genres,artist_popularity,artist_followers
239,Robyn,"['dance pop', 'electropop', 'neo-synthpop', 'scandipop', 'swedish electropop', 'swedish pop']",58,826457
240,Los Alegres de la Sierra,"['chilena', 'musica mexicana', 'sierreno']",57,722882
241,Heidi Montag,['pink noise'],53,111590
242,Easton Corbin,"['contemporary country', 'country', 'country road']",56,950989
243,Breaking Benjamin,"['alternative metal', 'nu metal', 'post-grunge']",69,4461994
244,Metric,"['canadian indie', 'canadian rock', 'indie rock', 'indietronica', 'metropopolis', 'neo-synthpop']",60,766150
245,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",86,26629905
246,Dread Mar I,"['argentine reggae', 'latin alternative', 'rock en espanol']",69,2613598
247,P!nk,"['dance pop', 'pop']",79,15851034
248,Justin Bieber,"['canadian pop', 'pop']",87,74210660
249,Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",78,6675522
250,Disturbed,"['alternative metal', 'nu metal', 'rap metal', 'rock']",72,6245922
251,Bo Burnham,"['comic', 'pov: indie']",67,1774017
252,The Irrepressibles,['baroque pop'],57,145553
253,Diddy - Dirty Money,['pop rap'],51,132357
254,Edward Maya,"['romanian house', 'romanian pop']",63,233638
255,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']",73,6349106
256,Sara Bareilles,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock', 'post-teen pop']",63,1924755
257,Avenged Sevenfold,"['alternative metal', 'nu metal']",74,6508554
258,Gyptian,"['conscious hip hop', 'dancehall', 'reggae fusion']",55,566411
259,Godsmack,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",66,3069010
260,Insane Clown Posse,['rap rock'],64,1215273
261,10 Years,"['alternative metal', 'nu metal', 'post-grunge']",55,647019
262,Brantley Gilbert,"['contemporary country', 'country', 'country road', 'modern country rock']",65,2963984
263,Los Inquietos Del Norte,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']",68,1492367
264,The Black Keys,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'indietronica', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock']",69,3916077
265,Matisyahu,['reggae fusion'],54,699960
266,Brantley Gilbert,"['contemporary country', 'country', 'country road', 'modern country rock']",65,2963984
267,Kanye West,"['chicago rap', 'hip hop', 'rap']",89,21267742
268,La Luz Roja De San Marcos,"['cumbia salvadorena', 'musica costena']",48,86841
269,Kings of Leon,"['modern rock', 'rock']",72,5292021
270,Insane Clown Posse,['rap rock'],64,1215273
271,Gorillaz,"['alternative hip hop', 'modern rock', 'rock']",77,10843316
272,El Trono de Mexico,"['banda', 'duranguense', 'grupera', 'musica mexicana', 'norteno']",63,1048510
273,Miguel,['r&b'],77,4788498
274,Avenged Sevenfold,"['alternative metal', 'nu metal']",74,6508554
275,Ryan Bingham,"['new americana', 'outlaw country']",58,457218
276,Kansas,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock']",64,1436113
277,Black Eyed Peas,"['dance pop', 'pop', 'pop rap']",78,7697568
278,Turnpike Troubadours,"['modern southern rock', 'red dirt']",64,455462
279,Kanye West,"['chicago rap', 'hip hop', 'rap']",89,21267742
280,Willie Colón,"['salsa', 'tropical']",67,1660170
281,Flight Facilities,"['aussietronica', 'australian dance', 'australian indie', 'indietronica', 'nu disco']",56,441003
282,LCD Soundsystem,"['alternative dance', 'alternative rock', 'art pop', 'dance rock', 'dance-punk', 'electronic rock', 'electronica', 'indie rock', 'indietronica', 'neo-synthpop', 'new rave']",56,1046574
283,Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",85,31350749
284,Turnpike Troubadours,"['modern southern rock', 'red dirt']",64,455462
285,Kesha,"['dance pop', 'pop']",74,7642761
286,Nelly Furtado,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",75,3555756
287,Miley Cyrus,['pop'],85,22112290
288,Waka Flocka Flame,"['atl hip hop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",64,2714590
289,Taylor Swift,['pop'],100,86026925
290,John Powell,"['british soundtrack', 'orchestral soundtrack', 'soundtrack']",62,208458
291,Taylor Swift,['pop'],100,86026925
292,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",88,57812873
293,Don Omar,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",81,10126538
294,Ghost,"['hard rock', 'metal']",74,2666355
295,Hinder,"['alternative metal', 'nu metal', 'post-grunge']",59,1828747
296,Wisin & Yandel,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",78,6673784
297,Taylor Swift,['pop'],100,86026925
298,Girls' Generation,"['k-pop', 'k-pop girl group']",62,2489434
299,Skrillex,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",76,8254532
300,Millionaires,['pink noise'],47,102056
301,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",83,24434347
302,Evans Blue,"['alternative metal', 'canadian rock', 'christian rock', 'nu metal', 'post-grunge']",50,265982
303,Julión Álvarez y su Norteño Banda,"['banda', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']",75,3766899
304,Maria Pseftoga,[],45,4930
305,Young the Giant,"['indietronica', 'modern alternative rock', 'modern rock', 'pov: indie', 'stomp and holler']",66,1528593
306,Crystal Castles,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']",69,1831961
307,Martin Solveig,"['disco house', 'edm', 'electro house', 'filter house', 'house', 'pop dance', 'vocal house']",62,1222816
308,Los Buitres De Culiacan Sinaloa,"['corrido', 'musica mexicana', 'norteno', 'sierreno']",59,976842
309,Alan Jackson,['country'],71,2481373
310,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",94,79671951
311,Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",78,6675522
312,Lloyd Banks,"['gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",61,1348752
313,Sarah McLachlan,"['canadian pop', 'canadian singer-songwriter', 'ectofolk', 'lilith', 'permanent wave', 'pop rock']",60,829524
314,Selena Gomez & The Scene,['pop'],67,9253771
315,Big Hooch,[],37,6189
316,Bruno Mars,"['dance pop', 'pop']",87,50939168
317,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",86,26629905
318,Stegosaurus Rex,['weirdcore'],44,30569
319,MARINA,"['metropopolis', 'pop', 'pov: indie', 'uk alternative pop']",71,4903431
320,Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",85,31350749
321,Donna Murphy,['movie tunes'],48,7930
322,Hannah Montana,"['pop', 'post-teen pop']",61,4551469
323,USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",78,10751861
324,Cartel De Santa,"['latin hip hop', 'mexican hip hop']",76,15336043
325,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",94,79671951
326,Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",85,31350749
327,Iration,['reggae rock'],56,390414
328,Nick Jonas,"['dance pop', 'pop']",64,9377708
329,My Darkest Days,"['alternative metal', 'nu metal', 'post-grunge']",58,579325
330,Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",86,29523913
331,Willie Colón,"['salsa', 'tropical']",67,1660170
332,Kanye West,"['chicago rap', 'hip hop', 'rap']",89,21267742
333,Erykah Badu,"['afrofuturism', 'alternative r&b', 'neo soul', 'r&b']",65,2749740
334,Brad Paisley,"['contemporary country', 'country', 'country road']",64,2726246
335,Rascal Flatts,"['contemporary country', 'country', 'country road']",67,3595500
336,Don Omar,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",81,10126538
337,Palomo,"['musica mexicana', 'norteno', 'tejano']",58,1218589
338,Rob Baird,['red dirt'],43,21381
339,Los Tucanes De Tijuana,"['banda', 'corrido', 'musica bajacaliforniana', 'musica mexicana', 'norteno']",75,2595342
340,The Green,"['jawaiian', 'reggae rock']",52,179358
341,Sanctus Real,"['ccm', 'christian alternative rock', 'christian music']",58,319398
342,Marco Antonio Solís,"['grupera', 'latin pop', 'musica mexicana', 'ranchera']",73,6670401
